window_idx,window_ts,feature,v0,v1,v2,v3
0,W000,drift_feat,10.0000,10.0500,10.1000,10.0500
0,W000,decoy_feat,5.4000,5.5000,5.6000,5.5000
1,W001,drift_feat,9.9000,9.9500,10.0000,9.9500
1,W001,decoy_feat,4.9000,5.0000,5.1000,5.0000
2,W002,drift_feat,10.0000,10.0500,10.1000,10.0500
2,W002,decoy_feat,4.4000,4.5000,4.6000,4.5000
3,W003,drift_feat,9.9000,9.9500,10.0000,9.9500
3,W003,decoy_feat,5.4000,5.5000,5.6000,5.5000
4,W004,drift_feat,10.0000,10.0500,10.1000,10.0500
4,W004,decoy_feat,4.9000,5.0000,5.1000,5.0000
5,W005,drift_feat,9.9000,9.9500,10.0000,9.9500
5,W005,decoy_feat,4.4000,4.5000,4.6000,4.5000
6,W006,drift_feat,10.0000,10.0500,10.1000,10.0500
6,W006,decoy_feat,5.4000,5.5000,5.6000,5.5000
7,W007,drift_feat,9.9000,9.9500,10.0000,9.9500
7,W007,decoy_feat,4.9000,5.0000,5.1000,5.0000
8,W008,drift_feat,10.0000,10.0500,10.1000,10.0500
8,W008,decoy_feat,4.4000,4.5000,4.6000,4.5000
9,W009,drift_feat,9.9000,9.9500,10.0000,9.9500
9,W009,decoy_feat,5.4000,5.5000,5.6000,5.5000
10,W010,drift_feat,10.0000,10.0500,10.1000,10.0500
10,W010,decoy_feat,4.9000,5.0000,5.1000,5.0000
11,W011,drift_feat,9.9000,9.9500,10.0000,9.9500
11,W011,decoy_feat,4.4000,4.5000,4.6000,4.5000
12,W012,drift_feat,10.0000,10.0500,10.1000,10.0500
12,W012,decoy_feat,5.4000,5.5000,5.6000,5.5000
13,W013,drift_feat,9.9000,9.9500,10.0000,9.9500
13,W013,decoy_feat,4.9000,5.0000,5.1000,5.0000
14,W014,drift_feat,10.0000,10.0500,10.1000,10.0500
14,W014,decoy_feat,4.4000,4.5000,4.6000,4.5000
15,W015,drift_feat,9.9000,9.9500,10.0000,9.9500
15,W015,decoy_feat,5.4000,5.5000,5.6000,5.5000
16,W016,drift_feat,10.0000,10.0500,10.1000,10.0500
16,W016,decoy_feat,4.9000,5.0000,5.1000,5.0000
17,W017,drift_feat,9.9000,9.9500,10.0000,9.9500
17,W017,decoy_feat,4.4000,4.5000,4.6000,4.5000
18,W018,drift_feat,10.0000,10.0500,10.1000,10.0500
18,W018,decoy_feat,5.4000,5.5000,5.6000,5.5000
19,W019,drift_feat,9.9000,9.9500,10.0000,9.9500
19,W019,decoy_feat,4.9000,5.0000,5.1000,5.0000
20,W020,drift_feat,10.0000,10.0500,10.1000,10.0500
20,W020,decoy_feat,4.4000,4.5000,4.6000,4.5000
21,W021,drift_feat,9.9000,9.9500,10.0000,9.9500
21,W021,decoy_feat,5.4000,5.5000,5.6000,5.5000
22,W022,drift_feat,10.0000,10.0500,10.1000,10.0500
22,W022,decoy_feat,4.9000,5.0000,5.1000,5.0000
23,W023,drift_feat,9.9000,9.9500,10.0000,9.9500
23,W023,decoy_feat,4.4000,4.5000,4.6000,4.5000
