x1,x2,x3,error
0.000000,1.000000,0.000000,0.000000
0.327195,0.980067,0.414611,0.410505
0.618370,0.921061,0.460928,0.456365
0.841471,0.825336,0.539648,0.534305
0.971938,0.696707,0.860184,0.851667
0.995408,0.540302,0.925260,0.916099
0.909297,0.362358,0.628681,0.622457
0.723086,0.169967,0.490606,0.485748
0.457273,-0.029200,0.499639,0.494692
0.141120,-0.227202,0.174131,0.172407
-0.190568,-0.416147,-0.299631,-0.296664
-0.501277,-0.588501,-0.427605,-0.423371
-0.756802,-0.737394,-0.460028,-0.455473
-0.929015,-0.856889,-0.767102,-0.759507
-0.998955,-0.942222,-0.954383,-0.944934
-0.958924,-0.989992,-0.720413,-0.713281
-0.813329,-0.998295,-0.523960,-0.518773
-0.578198,-0.966798,-0.555908,-0.550404
-0.279415,-0.896758,-0.336114,-0.332787
0.050127,-0.790968,0.157662,0.156101
0.374151,-0.653644,0.382470,0.378683
0.656987,-0.490261,0.393031,0.389139
0.867497,-0.307333,0.656295,0.649797
0.982508,-0.112153,0.943185,0.933846
0.989358,0.087499,0.805566,0.797591
0.887294,0.283662,0.566027,0.560422
0.687551,0.468517,0.588263,0.582439
0.412118,0.634693,0.475467,0.470759
0.091317,0.775566,0.004348,0.004305
-0.239537,0.885520,-0.318128,-0.314978
-0.544021,0.960170,-0.338029,-0.334683
-0.788616,0.996542,-0.538786,-0.533451
-0.946396,0.993185,-0.891588,-0.882761
-0.999990,0.950233,-0.873708,-0.865057
-0.943500,0.869397,-0.618513,-0.612389
-0.783143,0.753902,-0.604129,-0.598147
-0.536573,0.608351,-0.584769,-0.578979
-0.230934,0.438547,-0.176278,-0.174533
0.100128,0.251260,0.229463,0.227191
0.420167,0.053955,0.290897,0.288016
0.693952,-0.145500,0.424677,0.420472
0.891342,-0.339155,0.803857,0.795898
0.990607,-0.519289,0.914890,0.905832
0.980821,-0.678720,0.679350,0.672624
0.863060,-0.811093,0.612031,0.605972
0.650288,-0.911130,0.660572,0.654032
0.365928,-0.974844,0.346167,0.342740
0.041285,-0.999693,-0.114794,-0.113658
-0.287903,-0.984688,-0.244946,-0.242521
-0.585397,-0.930426,-0.321674,-0.318489
-0.818447,-0.839072,-0.687981,-0.681169
-0.961397,-0.714266,-0.921262,-0.912141
-0.998511,-0.560984,-0.742898,-0.735542
-0.925703,-0.385338,-0.619981,-0.613843
-0.750987,-0.194330,-0.703678,-0.696711
-0.493598,0.004426,-0.501849,-0.496881
-0.181871,0.203005,-0.023524,-0.023291
0.149877,0.393491,0.192317,0.190413
0.465126,0.568290,0.234043,0.231726
0.729172,0.720432,0.554490,0.549000
0.912945,0.843854,0.888376,0.879580
0.996216,0.933634,0.800786,0.792857
0.969818,0.986192,0.633968,0.627691
0.836656,0.999435,0.718737,0.711620
0.611389,0.972833,0.632640,0.626376
0.318818,0.907447,0.179161,0.177387
-0.008851,0.805884,-0.125575,-0.124331
-0.335546,0.672193,-0.162161,-0.160555
-0.625302,0.511704,-0.414899,-0.410791
-0.846220,0.330815,-0.815987,-0.807908
-0.973982,0.136737,-0.843245,-0.834896
-0.994522,-0.062792,-0.656833,-0.650329
-0.905578,-0.259817,-0.713253,-0.706191
-0.716943,-0.446485,-0.730786,-0.723551
-0.449383,-0.615352,-0.342517,-0.339126
-0.132352,-0.759688,0.039252,0.038863
0.199250,-0.873737,0.102737,0.101720
0.508916,-0.952953,0.280025,0.277252
0.762558,-0.994178,0.708207,0.701195
0.932253,-0.995768,0.860718,0.852196
0.999320,-0.957659,0.687700,0.680891
0.956376,-0.881372,0.696153,0.689261
0.808148,-0.769948,0.792473,0.784626
0.570954,-0.627828,0.501984,0.497014
0.270906,-0.460679,0.068927,0.068244
-0.058965,-0.275163,-0.049653,-0.049161
-0.382345,-0.078678,-0.158452,-0.156883
-0.663634,0.120944,-0.572985,-0.567312
-0.871866,0.315744,-0.845476,-0.837105
-0.984118,0.497956,-0.722062,-0.714913
-0.988032,0.660317,-0.676160,-0.669465
-0.883177,0.796352,-0.818194,-0.810093
-0.681097,0.900640,-0.645545,-0.639154
-0.404038,0.969022,-0.197339,-0.195385
-0.082499,0.998772,-0.004714,-0.004668
0.248121,0.988705,0.055396,0.054847
0.551427,0.939220,0.420995,0.416826
0.794028,0.852292,0.792989,0.785138
0.949218,0.731386,0.752508,0.745058
0.999912,0.581322,0.660240,0.653703
