unit,period,metric_a,metric_b
d01,1,1.010000,0.977000
d02,1,1.020000,0.984000
d03,1,1.030000,3.030000
d04,1,1.040000,0.998000
d05,1,1.050000,1.005000
d06,1,1.060000,1.012000
d07,1,1.070000,2.870000
d08,1,1.080000,1.026000
d09,1,1.090000,1.033000
d10,1,1.100000,1.040000
d11,2,1.110000,1.047000
d12,2,1.120000,1.054000
d13,2,1.130000,1.061000
d14,2,1.140000,1.068000
d15,2,1.150000,1.075000
d16,2,1.160000,1.082000
d17,2,1.170000,1.089000
d18,2,1.180000,1.096000
d19,2,1.190000,1.103000
d20,2,1.200000,1.110000
