iteration,unit,position,member
0,c0,0,m1
0,c0,0,m6
0,c1,1,m2
0,c1,1,m5
0,c2,2,m3
0,c2,2,m4
1,c0,0,m1
1,c0,0,m5
1,c1,1,m6
1,c1,1,m4
1,c2,2,m2
1,c2,2,m3
2,c0,0,m1
2,c0,0,m4
2,c1,1,m5
2,c1,1,m3
2,c2,2,m6
2,c2,2,m2
3,c0,0,m1
3,c0,0,m3
3,c1,1,m4
3,c1,1,m2
3,c2,2,m5
3,c2,2,m6
4,c0,0,m1
4,c0,0,m2
4,c1,1,m3
4,c1,1,m6
4,c2,2,m4
4,c2,2,m5
5,c0,0,m1
5,c0,0,m6
5,c1,1,m2
5,c1,1,m5
5,c2,2,m3
5,c2,2,m4
6,c0,0,m1
6,c0,0,m5
6,c1,1,m6
6,c1,1,m4
6,c2,2,m2
6,c2,2,m3
7,c0,0,m1
7,c0,0,m4
7,c1,1,m5
7,c1,1,m3
7,c2,2,m6
7,c2,2,m2
