window_idx,window_ts,rmse
0,W000,1.1000
1,W001,0.9000
2,W002,1.1000
3,W003,0.9000
4,W004,1.1000
5,W005,0.9000
6,W006,1.1000
7,W007,0.9000
8,W008,1.1000
9,W009,0.9000
10,W010,1.1000
11,W011,0.9000
12,W012,1.1000
13,W013,0.9000
14,W014,1.1000
15,W015,0.9000
16,W016,1.1000
17,W017,0.9000
18,W018,1.1000
19,W019,0.9000
20,W020,1.1000
21,W021,0.9000
22,W022,1.1000
23,W023,0.9000
24,W024,1.1000
25,W025,0.9000
26,W026,1.1000
27,W027,0.9000
28,W028,1.1000
29,W029,0.9000
30,W030,1.1000
31,W031,0.9000
32,W032,1.1000
33,W033,0.9000
34,W034,1.1000
35,W035,0.9000
36,W036,1.1000
37,W037,0.9000
38,W038,1.1000
39,W039,0.9000
40,W040,1.2500
41,W041,1.5000
42,W042,1.7500
43,W043,2.0000
44,W044,2.2500
45,W045,2.5000
46,W046,2.7500
47,W047,3.0000
48,W048,3.1000
49,W049,2.9000
50,W050,3.1000
51,W051,2.9000
52,W052,3.1000
53,W053,2.9000
54,W054,3.1000
55,W055,2.9000
56,W056,3.1000
57,W057,2.9000
58,W058,3.1000
59,W059,2.9000
