series,iteration,unit,position,epoch,loss
S1,0,c0,0,1,1.898658
S1,0,c0,0,2,1.403793
S1,0,c0,0,3,1.181436
S1,0,c0,0,4,1.081524
S1,0,c0,0,5,1.036631
S1,0,c0,0,6,1.016459
S1,0,c0,0,7,1.007396
S1,0,c0,0,8,1.003323
S1,0,c1,1,1,1.918658
S1,0,c1,1,2,1.423793
S1,0,c1,1,3,1.201436
S1,0,c1,1,4,1.101524
S1,0,c1,1,5,1.056631
S1,0,c1,1,6,1.036459
S1,0,c1,1,7,1.027396
S1,0,c1,1,8,1.023323
S1,0,c2,2,1,2.238658
S1,0,c2,2,2,1.743793
S1,0,c2,2,3,1.521436
S1,0,c2,2,4,1.421524
S1,0,c2,2,5,1.376631
S1,0,c2,2,6,1.356459
S1,0,c2,2,7,1.347396
S1,0,c2,2,8,1.343323
S1,1,c0,0,1,1.898658
S1,1,c0,0,2,1.403793
S1,1,c0,0,3,1.181436
S1,1,c0,0,4,1.081524
S1,1,c0,0,5,1.036631
S1,1,c0,0,6,1.016459
S1,1,c0,0,7,1.007396
S1,1,c0,0,8,1.003323
S1,1,c1,1,1,1.918658
S1,1,c1,1,2,1.423793
S1,1,c1,1,3,1.201436
S1,1,c1,1,4,1.101524
S1,1,c1,1,5,1.056631
S1,1,c1,1,6,1.036459
S1,1,c1,1,7,1.027396
S1,1,c1,1,8,1.023323
S1,1,c2,2,1,2.238658
S1,1,c2,2,2,1.743793
S1,1,c2,2,3,1.521436
S1,1,c2,2,4,1.421524
S1,1,c2,2,5,1.376631
S1,1,c2,2,6,1.356459
S1,1,c2,2,7,1.347396
S1,1,c2,2,8,1.343323
S1,2,c0,0,1,1.898658
S1,2,c0,0,2,1.403793
S1,2,c0,0,3,1.181436
S1,2,c0,0,4,1.081524
S1,2,c0,0,5,1.036631
S1,2,c0,0,6,1.016459
S1,2,c0,0,7,1.007396
S1,2,c0,0,8,1.003323
S1,2,c1,1,1,2.218658
S1,2,c1,1,2,1.723793
S1,2,c1,1,3,1.501436
S1,2,c1,1,4,1.401524
S1,2,c1,1,5,1.356631
S1,2,c1,1,6,1.336459
S1,2,c1,1,7,1.327396
S1,2,c1,1,8,1.323323
S1,2,c2,2,1,1.938658
S1,2,c2,2,2,1.443793
S1,2,c2,2,3,1.221436
S1,2,c2,2,4,1.121524
S1,2,c2,2,5,1.076631
S1,2,c2,2,6,1.056459
S1,2,c2,2,7,1.047396
S1,2,c2,2,8,1.043323
S1,3,c0,0,1,2.198658
S1,3,c0,0,2,1.703793
S1,3,c0,0,3,1.481436
S1,3,c0,0,4,1.381524
S1,3,c0,0,5,1.336631
S1,3,c0,0,6,1.316459
S1,3,c0,0,7,1.307396
S1,3,c0,0,8,1.303323
S1,3,c1,1,1,1.918658
S1,3,c1,1,2,1.423793
S1,3,c1,1,3,1.201436
S1,3,c1,1,4,1.101524
S1,3,c1,1,5,1.056631
S1,3,c1,1,6,1.036459
S1,3,c1,1,7,1.027396
S1,3,c1,1,8,1.023323
S1,3,c2,2,1,1.938658
S1,3,c2,2,2,1.443793
S1,3,c2,2,3,1.221436
S1,3,c2,2,4,1.121524
S1,3,c2,2,5,1.076631
S1,3,c2,2,6,1.056459
S1,3,c2,2,7,1.047396
S1,3,c2,2,8,1.043323
S1,4,c0,0,1,1.898658
S1,4,c0,0,2,1.403793
S1,4,c0,0,3,1.181436
S1,4,c0,0,4,1.081524
S1,4,c0,0,5,1.036631
S1,4,c0,0,6,1.016459
S1,4,c0,0,7,1.007396
S1,4,c0,0,8,1.003323
S1,4,c1,1,1,2.218658
S1,4,c1,1,2,1.723793
S1,4,c1,1,3,1.501436
S1,4,c1,1,4,1.401524
S1,4,c1,1,5,1.356631
S1,4,c1,1,6,1.336459
S1,4,c1,1,7,1.327396
S1,4,c1,1,8,1.323323
S1,4,c2,2,1,1.938658
S1,4,c2,2,2,1.443793
S1,4,c2,2,3,1.221436
S1,4,c2,2,4,1.121524
S1,4,c2,2,5,1.076631
S1,4,c2,2,6,1.056459
S1,4,c2,2,7,1.047396
S1,4,c2,2,8,1.043323
S1,5,c0,0,1,1.898658
S1,5,c0,0,2,1.403793
S1,5,c0,0,3,1.181436
S1,5,c0,0,4,1.081524
S1,5,c0,0,5,1.036631
S1,5,c0,0,6,1.016459
S1,5,c0,0,7,1.007396
S1,5,c0,0,8,1.003323
S1,5,c1,1,1,1.918658
S1,5,c1,1,2,1.423793
S1,5,c1,1,3,1.201436
S1,5,c1,1,4,1.101524
S1,5,c1,1,5,1.056631
S1,5,c1,1,6,1.036459
S1,5,c1,1,7,1.027396
S1,5,c1,1,8,1.023323
S1,5,c2,2,1,2.238658
S1,5,c2,2,2,1.743793
S1,5,c2,2,3,1.521436
S1,5,c2,2,4,1.421524
S1,5,c2,2,5,1.376631
S1,5,c2,2,6,1.356459
S1,5,c2,2,7,1.347396
S1,5,c2,2,8,1.343323
S1,6,c0,0,1,1.898658
S1,6,c0,0,2,1.403793
S1,6,c0,0,3,1.181436
S1,6,c0,0,4,1.081524
S1,6,c0,0,5,1.036631
S1,6,c0,0,6,1.016459
S1,6,c0,0,7,1.007396
S1,6,c0,0,8,1.003323
S1,6,c1,1,1,1.918658
S1,6,c1,1,2,1.423793
S1,6,c1,1,3,1.201436
S1,6,c1,1,4,1.101524
S1,6,c1,1,5,1.056631
S1,6,c1,1,6,1.036459
S1,6,c1,1,7,1.027396
S1,6,c1,1,8,1.023323
S1,6,c2,2,1,2.238658
S1,6,c2,2,2,1.743793
S1,6,c2,2,3,1.521436
S1,6,c2,2,4,1.421524
S1,6,c2,2,5,1.376631
S1,6,c2,2,6,1.356459
S1,6,c2,2,7,1.347396
S1,6,c2,2,8,1.343323
S1,7,c0,0,1,1.898658
S1,7,c0,0,2,1.403793
S1,7,c0,0,3,1.181436
S1,7,c0,0,4,1.081524
S1,7,c0,0,5,1.036631
S1,7,c0,0,6,1.016459
S1,7,c0,0,7,1.007396
S1,7,c0,0,8,1.003323
S1,7,c1,1,1,2.218658
S1,7,c1,1,2,1.723793
S1,7,c1,1,3,1.501436
S1,7,c1,1,4,1.401524
S1,7,c1,1,5,1.356631
S1,7,c1,1,6,1.336459
S1,7,c1,1,7,1.327396
S1,7,c1,1,8,1.323323
S1,7,c2,2,1,1.938658
S1,7,c2,2,2,1.443793
S1,7,c2,2,3,1.221436
S1,7,c2,2,4,1.121524
S1,7,c2,2,5,1.076631
S1,7,c2,2,6,1.056459
S1,7,c2,2,7,1.047396
S1,7,c2,2,8,1.043323
